Time (s),Sensor Value (Newtons)
0.0,0.0
0.04459214210510254,0.0
0.10479736328125,0.0
0.1648859977722168,0.0
0.20942282676696777,0.0
0.27022671699523926,0.0
0.33048319816589355,0.0
0.37461400032043457,0.0
0.43672704696655273,0.0
0.4943547248840332,0.0
0.5400645732879639,0.0
0.6004905700683594,0.0
0.659109354019165,0.0
0.7202939987182617,0.0
0.7647740840911865,0.0
0.8244714736938477,0.0
0.8844342231750488,0.0
0.9296061992645264,0.0
0.9898388385772705,0.0
1.0498371124267578,0.0
1.0947449207305908,0.0
1.1696856021881104,0.0
1.2144949436187744,0.0
1.2902357578277588,0.0
1.3496506214141846,0.0
1.4095044136047363,0.0
1.4703340530395508,0.0
1.5301740169525146,0.0
1.5895445346832275,0.0
1.6497471332550049,0.0
1.7097840309143066,0.0
1.7696824073791504,0.0
1.7706809043884277,0.0
1.8300387859344482,0.0
1.8903632164001465,0.0
1.9499914646148682,0.0
2.0098719596862793,0.0
2.070202350616455,0.0
2.1302077770233154,0.0
2.190109968185425,0.0
2.2496438026428223,0.0
2.310297727584839,0.0
2.3697476387023926,0.0
2.370753288269043,0.0
2.429840564727783,0.0
2.4899775981903076,0.0
2.549915075302124,0.0
2.6095783710479736,0.0
2.669605255126953,0.0
2.7298800945281982,0.0
2.789701223373413,0.0
2.849839448928833,0.0
2.90977144241333,0.0
2.969799280166626,0.0
3.030207395553589,0.0
3.09004545211792,0.0
3.1496286392211914,8.475072860717773
3.210357904434204,19.19354820251465
3.210357904434204,35.39589309692383
3.269902229309082,43.870967864990234
3.3302273750305176,51.59823989868164
3.3901548385620117,54.58944320678711
3.449854850769043,61.31964874267578
3.5099146366119385,55.586509704589844
3.56974720954895,64.80938720703125
3.630255937576294,66.55425262451172
3.689955711364746,68.04985046386719
3.7500033378601074,71.29032135009766
3.81083345413208,73.03519439697266
3.870269298553467,73.53372192382812
3.930475950241089,73.28445434570312
3.989701271057129,75.27859497070312
4.05011248588562,77.2727279663086
4.05011248588562,77.0234603881836
4.1107869148254395,78.2697982788086
4.170083999633789,79.76539611816406
4.230098485946655,79.01759338378906
4.289228916168213,80.76246643066406
4.350320816040039,80.26393127441406
4.409463167190552,82.00879669189453
4.469640493392944,70.79178619384766
4.530082941055298,80.26393127441406
4.59009051322937,70.29325866699219
4.650369644165039,79.51612854003906
4.710289001464844,79.26686096191406
4.770295858383179,78.51905822753906
4.830246686935425,78.2697982788086
4.88992166519165,79.76539611816406
4.949970245361328,78.0205307006836
5.010254144668579,78.2697982788086
5.010254144668579,79.76539611816406
5.069721698760986,76.7741928100586
5.129810810089111,76.5249252319336
5.190264940261841,76.5249252319336
5.249953985214233,76.5249252319336
5.310112476348877,76.2756576538086
5.3695969581604,74.78005981445312
5.429620027542114,76.0263900756836
5.4903528690338135,66.80352020263672
5.550295114517212,75.27859497070312
5.609505891799927,75.02932739257812
5.670961380004883,72.53665924072266
5.731451749801636,65.55718231201172
5.790299654006958,71.53958892822266
5.849725723266602,68.54838562011719
5.909741640090942,66.05571746826172
5.970354080200195,60.07331466674805
6.030441522598267,52.844573974609375
6.030441522598267,52.09677505493164
6.090528726577759,51.84750747680664
6.15004301071167,51.099708557128906
6.210079669952393,48.60703659057617
6.2698094844818115,45.61583709716797
6.330271005630493,43.621700286865234
6.389749526977539,37.14076232910156
6.4502904415130615,36.39296340942383
6.509989261627197,33.65102767944336
6.569802284240723,32.65395736694336
6.629631042480469,28.66568946838379
6.689823865890503,24.677419662475586
6.750349283218384,22.434017181396484
6.810223579406738,20.439882278442383
6.870297431945801,18.94428062438965
6.932192325592041,17.947214126586914
6.990420579910278,13.958944320678711
6.990420579910278,11.466275215148926
7.049837589263916,9.22287368774414
7.110130786895752,5.483870983123779
7.170349359512329,3.4897360801696777
7.230080604553223,0.0
7.290289402008057,0.0
7.4098429679870605,0.0
7.410844564437866,0.0
7.469912052154541,0.0
7.530421733856201,0.0
7.590771675109863,0.0
7.649593114852905,0.0
7.709616184234619,0.0
7.769743204116821,0.0
7.770743131637573,0.0
7.830618619918823,0.0
7.890300512313843,0.0
7.950330018997192,0.0
8.010757446289062,0.0
8.07063913345337,0.0
8.130208253860474,0.0
